core_clause_id	fcuj__clause_id	clause_sha256
1	10	1BF144614E136B999F85819BCA1A981E021C58EB354A02AC5854485260081F06
2	12	55C09B0F58E506E2A2446D996DECC4FB4B269B227E373AEE61050A637DAF2C45
3	14	C9CC34FD3F30DBFFDEC8E73BC0749368C8404712386BBCD09410758F79F3D057
4	16	97D86A44B74771B585DF3ECC6604F0F249FF2BB06416EC2BE67EB9AC8B406D45
5	90	9AD170D9C9EE1AAF8AEC789465F7ADC44197E3F0D7520EB57216D8338297A1E7
6	92	0668ABD48081872E56D622CFE35CB67CBA7816057EE84E7476FB005135BBAEB3
7	94	B16EA895D2A83538F70DB2DE95EB0EDB4EA343E667EB0270AB8AD7141D9C3CE2
8	96	485DF9732154BCED6E6DC5AF71E691E98EBF529C7C9EB1AEC547169DCDA1188F
9	98	E6FE6299C9CE1AB519DF95EEAEB10ED1C94A26AF4A3920D591D513E2273A4989
10	118	8B0AC2E2700DC161F7F4E981B36C27BDDB5AC936B9F00826881E38302CA2CF74
11	124	7859DDAD1671FC47282B394CA1EF1FF4A0A746B58784E6D807C9A0CFB127BC55
12	159	AC4DC434EF196FCB02C78B93B55E22CF8C2B5F53293024630084CB1DD54B8839
13	161	FA939483E65143709328D9C5A11FD7E38A876074D9CB2A080789B1091AC8ECE4
14	163	9B453017FB3A313F51120C3582AEB02F1183A170E24BB31B6596B8B19127AB3F
15	165	990C2F13FEB4D9FDD99BC3AA834516B0D8B464024DE069735A6DCB7D7CD96CDD
16	167	0EC065CDFCEF40B47CAED1F378DD8F7EA4026F34FB73DBCD469AD7D0ACF98BB6
17	169	FB1E996926F313541B47BE9DEA31645A76B927A266F1918F62D76A56570D8D21
18	182	A5A770A680C410B704F3DC453B787F00228BB97584C9D1C8EFAFAB909AF4739C
19	184	E4B9946C7039EEF665A2494688A6D99B4820E570EF079BDE1DFA279CD5BD4E84
20	186	5734E76CF0E55330A689C8171EA864BF8E02281FBEE7D42D07B06A6D6C2F8544
21	188	D04040A31EB88540D53C1FE11FB2FF0142E25A919B7C9559CAF8E45457177F38
22	209	26E7477C255B6181EE54184180953C8FA8E3948BD31C2B8CD1E4B35355297A20
23	211	7E6077C5A6D3D791114AA9727AB9F8999B0CF02C8301BEFA5E7B862AFFF12308
24	213	349709753C6EBD65828AE5C990090F8A074D2BA6C61901C528640C866F4356AD
25	215	7F4A5A693CAB721A91C53181977930547C79F438EAB2BC619C8265CFA70D2CD4
26	217	45A7D74A06A4ACC58DC0964DFFB2712082CE1E7DC52E22E7B34CF3E05B2D02B6
27	219	8504B4B49B417D2C20FFA8195755F336AA4314F9C585310F977BBD0617BBF2D8
28	228	957B4C65D0FF39C2735DF9C9405415DB38195B991B22D3CB8ECACA91ACD303F4
29	239	143F70B940F7A7953F02243FA9488086146A47C6F796EF8923D389FFC4E03773
30	244	A7A77ABE2E2E4A77F3DB197EC2E84F0B4394780D5704820BE624AA324F5B89A4
31	248	E951E75C7EC39C0CC3554D94FDC4F70A42500F1D0E778DCD71C44F2204B27DB0
32	250	07FADA50EE0F1C05A076BDF7E372FA1210EAC8CFED4DCBA91139E8E5A72CDF14
33	252	441F25E46BB6AB06ECEEC92A7C1C8E16825AB4C5281F1FD7805925B6652005CA
34	254	B3A4C8F1F606D8F0DCB7CAD1EA30116F6309F3A6FB69F6247A34A1593C9BE286
35	314	512410977E476835EAB486EB7C0790B81CA763B394468F4F151C14B14C604E8A
36	316	2F20CD489F82501A93F2365D89FDA9A7B9D49C72F7922BEC205C8BCBB5A23381
37	318	3C716A659F0C46AF6F16CD834E8A60B54CC9F300477DCCCE0A30F3C8BDA99BE5
38	357	7530CA81A9C92DCE0A0818437364634731023CE834EA2676E42CBD8A264EA47A
39	361	A571F378870D56FB20E00B736398EBEA7620AFEDAE42CD4FC6C6F439D2B09FE8
40	363	C7B6EC79D41A24A61A8CF0B8E94643AF82B895961D9E8ED68BA99D46920D933D
41	365	5C1AB46C4C5420915BFAFD43327E82CD3A9196E4DF72861DE02A3393E938C9AB
42	367	124E55BF333B4814EE5D07DB4D4AB41B1555F2BCC2B009F791D825B0FA35C85A
43	384	9179FEE3A973CF03244FF632A4575465D812778354CCB019110B7E176FFCCC8C
44	389	38185B69F2AC82364E9DBAC988CF173A90862DDCD24F20A693A14470DA95C814
45	391	A9638B9CCAB709EBAB79D2F4FC4C59F2989D6ACA24AC57D6D63EA4F784776FBD
46	393	D51883453CC32BE0D49FB87B48A4956F2536150E4E1332BC11301C0E4704D7DA
