core_clause_id	fgravegow_clause_id	clause_sha256
1	61	16713B05E59C744ED934B6CB94E2052DD3A0C22D8396E3C7EE9C45B83692834F
2	63	F357E282C8404CC3ADEB75293486F731A33E4D7309128949BFC872BE7852DD72
3	65	35EC252D08933E0FF5F2AA23F91DDBF6D31E108519C622D0492465A9B43073C8
4	67	BA9D80C87D8A6FF318380AA2CB246FA0F3CCEC284F1774CFF238F614A55350B2
5	69	F4BD926ECD1958AD4493D35ADCB2BBF9A4451870701941271252D83A1ACD1BF1
6	71	C7A10852B84000D6AD72FEF616DBB15BB302445C6D40AD40C17AC7422FC17D7A
7	100	5808F8BBD4F7FFFF5C0C7D3987531FEAD5EE3690B3EF302BF5C12E15CEE78A51
8	102	1604229A6BB2D504D8556EC602268D26B1CE070A64C4678D5014AF6B4C91BB67
9	104	2CF07B9EFE9875A426F732C87D8B5F57F8367680ADE384C6951CAC71A48A24C9
10	106	03C77BE14D5165E71EDA356AF272B2C8B89E845A017C4FBBE274FA6A41ABB81A
11	108	36856A1E46529CA4D102395CE7B88C727CAA9632EC043114C828A826986A7ACA
12	110	D6B31EB94E660782C26D9EABDCF199C1756968464A102869A075F0DDB5CFB9EE
13	112	9C15A16F6E8FDE6C0994CE8D06DC28D28296AC452AA9DF45EDE658B459445495
14	114	35C74E6E4A39654A58D7795F5B2EF7CCB084A51B5075F2C5CE324C98F4FF7648
15	116	6FCC25A582308AB4D879E2AAD353BAA8FB49DFE9BB140720D979214E1BD01365
16	128	B33B499975FA1162EFA087371C9B97F2871F56CB63B2031162BDF84E4706034A
17	132	5CDBA9A835609ACE6FA06604ABCD2C6910FA70259E4FD52C1477BBCFD5A41770
18	134	85FDEEF9D53D85BA7749E05DEC4306A6646A07A0AB968206703E1C3C411AD1FB
19	136	9769D22A0F6EE584831F25AB755DC3364A53856B11164A5A6B3CCAB34C366358
20	138	8D83342800A7E494975DEAFAA202098A2BB3CB545647E3A7F37CFB0172EE00EB
21	140	4319CCCA01BE6A5981642BA9BDDF1692B1B9D884B5B6692C062224F22FA65C50
22	152	4F93204C4FE0684C5C4DF591D6F3AB514EA4E378323F451E4866D8EB3D012CBA
23	154	60995E086798E4C4CFC7AB59B1038D201A3344694E5685F59C05409985DB5ED7
24	156	A996C1C7416E6F83605C493D0CB954E4EE590AB21DBE52AA421DCE5787D8702F
25	158	E80E9CE1D78EBD3BC63B143D297D0BFE56CEADCAF55692B923F30CB06506435A
26	160	AB1B2954C0313EE4B04A0F077080629E35C1ECC7FD2C0111A25053C31DBB356B
27	162	6D8B8A92D0908BDB0E4451D8BA7F2D3403691DBE1A9C867BEF6FC250073818B4
28	164	0128DD7960722F59603B8FBF3D9482324D618DCBB2396A421CDBE2B94F35F14E
29	166	DB38FA4C18AC428F4BFAE154F62D7FE9A8609345539D56678966E3E40BD01CCD
30	170	749748CFAFC73874330170B06DC02F903CA0A5231D51D51FC1F94476D49F47BA
31	174	50C92E676618EBFBD4C45A0E38DD7C0964F20C4170CB651ADEB326E7521E6E7F
32	176	184061FAE5423838998A98DD9097F41C71806FF488050F5857A113FB087E4805
33	178	766DD854921989615BFA6DBB400890856B175A5ED62F100E8D01C488F4C7E329
34	180	F0C3873EC3C351BE5F26BE834BC15D44F85704AC2FA0B42BEF8D6132DFBFE70A
35	190	E26A41771E3CF0956DCF21A51ADD5CD5B2823B98065CA9B82CCAB3F648B171A0
36	196	EB9F938031DDF3B6F7676A1E4666027043D27D2E8B0B85894586E10A35595807
37	200	B9CEE3C97752EA54C7618C304E82CB4C349461DCFC838659F5745797A66289E2
38	210	9F11FE887C2D4E238F5ECFDFD63D66C97454298017249757BA28BCE8D6952BB7
39	212	829D02E17889082536A2FBF435CB4BB1FEF48DEACB5DB35C6A36C24684BD6454
40	216	BC5874D2B8079EFA1DC5F9F539E0CFE392F462CDB56FD8273CA7B97BF2058C18
41	222	9A41D3A7CD4C96CA1A19EDFEE4FC0A86023BD12B1822EA4288030AC84454993A
42	224	8D1B81AC362F2B3BD4A8E4AD49878A168728B78ADDBE7EB62386B5F7E048C4FE
43	228	957B4C65D0FF39C2735DF9C9405415DB38195B991B22D3CB8ECACA91ACD303F4
44	230	3C7C1DDEEE5323E94D3ADCF5F93099847165161D48A4C86E0DF00C51A19EA61A
45	233	2796A0E24F7120DC6BF700B816F335DE55DAE1543D2E32D522ECE0C3A54C3FC0
46	235	C9FE0216EC055ADFD468E5B78357C429AF9B6A02225876C5C885EDC48D556FBF
47	237	5AE2F1136E22C86109CF5DF36B9BD5785DAD7245B531B39BBA03165D65C40B79
48	239	143F70B940F7A7953F02243FA9488086146A47C6F796EF8923D389FFC4E03773
49	270	49086E1B7CABC3619B1612E9B44FA556C1F3C22979B9F6C4AA47D2C08D3E5957
50	272	7EB1593EE162EE4A2EA50257CFE2CE2476F6B63A49F60E2CEFE3BC3E933B0188
51	274	975EE17DF5CD2A8078D7A4CCDC803915CC53A41C521D79FA6E454853AF435DBB
52	276	AC3958A97654ECC1CD6850FA42B24636D787F9FBF1B9978375DEB30878A08391
53	278	14510B04CB6E6D8874526CEA8F7E4B20C9BBC84C212E0E92DEA8AF60FD514849
54	280	D13435154BDDE78C89EAE74E4998920FED75DDB74A6DBFA605951F21D3D7F4F5
55	282	E52123B5B1AF0C0DE7144C5B56BE5C7E70F1FA66EB9BFCC4AC5A163071B409B9
56	284	FE55200EBFF785369A74DD403FBC3C228D3D584E0310B13E78189ADAD70C9824
57	288	BC1BAD23981714496D2D84ECE1B7F5EB17794C93D8E12997C70795A578458A6C
58	292	CD4580BA0CBDCE6C2CF6A708F1C22A0822EB24F2E000AAB7AC79F2295E5520AF
59	294	13258419BBDB54DCBC7F4D5B057D2D098D1A7F3E7C3F5CC3DB3906B9FA1C238F
60	302	C9084E24FAADF2561D9AD41F6A5461F2CDEAB7071E966EF189E5CD1E9D4EC23D
61	304	320DD3763398CF82F8BAD05C8BACE607D13A178D000CB36C0FEDE23C26805599
62	306	D79536ED36C35C0C3232A857F62CD7B5ED31D377A4786D7C2AF088A6AAE82895
63	308	BA76F4A492536331747A6459E131601DC8E7D218575DF9CE5AD8049E28C462BF
64	320	853B21F0BDEA864915FD849B3B892C55B9631DCBB5E543CB216C82EFBD34B76A
65	322	51DE65F7FEEAB6D6A5C5E834D89F62810BF7D2D5A3CC3553CB108C49326D1312
66	324	542F1DEADD442577D6B18ACA472442BC2C892079D0AFBC8A451E45ADFEE37812
67	326	0B8952A823DC804DCBA5082010B3918D6B875D1D5989C5723AEB99EB6BF65D91
68	328	C82F25B486BE31CA4309E216F1E8BED79A93314B01F3BCC64EAB8DD2B8CD0775
69	330	D69DEEBC5BDA85BD0C46B230C60D056BB40EACAAEB53D1EDE1497C8B7C70EBF3
70	338	EC4702D3947570A0EB421ADCD003A198603CF8A5CEC0DD50F7C534A53811A8D9
71	342	BC0A1E17BCE62235D72E1A5E83A105E957C3C6D7B0F35DD7C3ADF2BC0377284A
72	344	850754F54E3A66944D9BB2517755859E597CB1650F86CA52F4B577733335052B
73	346	8AEE2C10FBC699A50B1FECB3BBCA6781FCD6FD121CB6A0B4B0E8A4F771F4E69E
74	348	3C1E8EC2175020E31B88803B28E342540F0703D78161EF59FA65E391AA5AB7E8
75	358	C2261D27DA2E6DFE2E84C2C3F805D67907BD452DD12F8AE6D1840D04A2EB390B
76	368	DD6DE0A71961EFBB3A7384BD2817C64161F4C1A8044FA9ACAE2E3B6059E6599F
77	378	8ED7FA34AA2108A43289C7B901E522DAECB2BFA7D7D8A05E7049E6514BDF0790
78	380	522F01DAD7CCB419B2C41F15C688906177C9B80C84A5D8BD4EFFDCA83315EB06
79	388	E015726C80431C17E170F0B95CFFF4DDD46BD233728DFE72167EAB6D836B0120
80	392	32FB6B797BEC80F2A8D9A6D345EAF9D2616E00721FDF3128E7208EB0EA3CB717
81	396	A92FFEEBEA90996B82A61E6E21FF64D048D38770F70FAA99ADA9BD0BC669B4CC
82	398	091B9D7D02ADFE787C7B844EAB46AC1CCE616892FF60FFC52245119A110A14B3
83	400	61E274CA6FDB4E7FE649658946F984A6B0929A3D2085261F8FCDEF093EA8427A
84	401	DDABCA97D040E0FE0C5F83EC7367B415B9770A62285E8B8B3973FE70C1B8CD1D
85	403	4E8D475DF1712C3A31F3920F2E6F55CB31619E02EBFF1B01E6D01FD02A9EEDF4
86	405	474C042319C702894F9A16FF93EF9B266072F7AFE50493C8F46E82077AADD704
87	407	1E5B4EAA12BF5393F5D37E03C23CBC18F0653671FDFE891B1A99345A99A3EDDF
88	439	0FF131E5F68732CD98BDB904997A943849BE7010926ED027D6E8283FA0335300
89	441	92D8EFC1F8354EEDBF55ABF89A256066E6E2B1BCC64B2BD4BBB53C0216C9071A
