core_clause_id	fodpo_clause_id	clause_sha256
1	61	16713B05E59C744ED934B6CB94E2052DD3A0C22D8396E3C7EE9C45B83692834F
2	63	F357E282C8404CC3ADEB75293486F731A33E4D7309128949BFC872BE7852DD72
3	65	35EC252D08933E0FF5F2AA23F91DDBF6D31E108519C622D0492465A9B43073C8
4	67	BA9D80C87D8A6FF318380AA2CB246FA0F3CCEC284F1774CFF238F614A55350B2
5	69	F4BD926ECD1958AD4493D35ADCB2BBF9A4451870701941271252D83A1ACD1BF1
6	71	C7A10852B84000D6AD72FEF616DBB15BB302445C6D40AD40C17AC7422FC17D7A
7	117	83EEA5A8B12C90B457414ECC693936D631CA5386E3CB9956B60FB6E3F5A55A1D
8	119	FD14A1D8911A2CCC7279A1F34346AAAA5D39AE430594EA8C241ACE654AC6881B
9	121	9F2E6DD6CA36F4314FFD80A28121CCE018CCCAB60D3B58F2953E7B2473C7BBF2
10	123	E1E38D1A3D83CD87DB43B6D8F8767CFE7ADDB60CBF814E2EE4535714BB5858B3
11	125	7BB94530FDD8350B22697B328D2E0F09B9A3851AAB11E0162CB395F42319D0B7
12	127	BDF656065483BC507A32525CBF4622EBD4DD174DD4169584A12DFAC783849956
13	152	4F93204C4FE0684C5C4DF591D6F3AB514EA4E378323F451E4866D8EB3D012CBA
14	154	60995E086798E4C4CFC7AB59B1038D201A3344694E5685F59C05409985DB5ED7
15	156	A996C1C7416E6F83605C493D0CB954E4EE590AB21DBE52AA421DCE5787D8702F
16	158	E80E9CE1D78EBD3BC63B143D297D0BFE56CEADCAF55692B923F30CB06506435A
17	160	AB1B2954C0313EE4B04A0F077080629E35C1ECC7FD2C0111A25053C31DBB356B
18	162	6D8B8A92D0908BDB0E4451D8BA7F2D3403691DBE1A9C867BEF6FC250073818B4
19	164	0128DD7960722F59603B8FBF3D9482324D618DCBB2396A421CDBE2B94F35F14E
20	166	DB38FA4C18AC428F4BFAE154F62D7FE9A8609345539D56678966E3E40BD01CCD
21	168	8ECEF8A372F10E8D223423D77AE7FB6E577D775A755B6525094F7B39CF5C054C
22	170	749748CFAFC73874330170B06DC02F903CA0A5231D51D51FC1F94476D49F47BA
23	174	50C92E676618EBFBD4C45A0E38DD7C0964F20C4170CB651ADEB326E7521E6E7F
24	176	184061FAE5423838998A98DD9097F41C71806FF488050F5857A113FB087E4805
25	178	766DD854921989615BFA6DBB400890856B175A5ED62F100E8D01C488F4C7E329
26	180	F0C3873EC3C351BE5F26BE834BC15D44F85704AC2FA0B42BEF8D6132DFBFE70A
27	190	E26A41771E3CF0956DCF21A51ADD5CD5B2823B98065CA9B82CCAB3F648B171A0
28	192	33875852CF3F9913EACB601E04C3D6090BFBCF070ED6C97015A755C83CEE668F
29	194	FDAB17F839BE0B8B44453BC55E5A6BD5568CA6522A0ADB2AFABFE4B71FD5A390
30	196	EB9F938031DDF3B6F7676A1E4666027043D27D2E8B0B85894586E10A35595807
31	198	D6EE88EB015413889FAD12B7449938C1882C26F248C36614799AAC481BA98014
32	200	B9CEE3C97752EA54C7618C304E82CB4C349461DCFC838659F5745797A66289E2
33	202	E4E21BDA9FE10E36D002CB1C50EE9E47FC366CA9340881158A88134B21C8F5CA
34	204	D4076CE94AC973B360A86DF484E972B5950D0E9B07F740E4BC12BB90D91AB4E7
35	206	42DE7812A17C6290F7BD80587A2290143917FFA573B5D4BFD2A07CE7333012F9
36	208	65B2574E4FCEDACA2AB8973DFCC28DB26CCEC1CD19C7658D06ED53B0F9E8CF1C
37	210	9F11FE887C2D4E238F5ECFDFD63D66C97454298017249757BA28BCE8D6952BB7
38	212	829D02E17889082536A2FBF435CB4BB1FEF48DEACB5DB35C6A36C24684BD6454
39	214	30E52B13E5356A6801AF447575437104676622385F6230E38B9A4B30D93790F8
40	216	BC5874D2B8079EFA1DC5F9F539E0CFE392F462CDB56FD8273CA7B97BF2058C18
41	218	20D4176C8677CFE3AB4E15970C3A9D76934845A4F552BC7F21FDDC21346E7CA3
42	220	8E416EBA2BFDC4B60398F236F41A7D390A8F3FFAA1466F97D25978D0DAE2C92F
43	222	9A41D3A7CD4C96CA1A19EDFEE4FC0A86023BD12B1822EA4288030AC84454993A
44	224	8D1B81AC362F2B3BD4A8E4AD49878A168728B78ADDBE7EB62386B5F7E048C4FE
45	226	6353252B8A20D73F4104007D20CCD78A6B4648D5048813439074F305AD4820D8
46	228	957B4C65D0FF39C2735DF9C9405415DB38195B991B22D3CB8ECACA91ACD303F4
47	230	3C7C1DDEEE5323E94D3ADCF5F93099847165161D48A4C86E0DF00C51A19EA61A
48	232	5C14AD20F51411F4FE3CCD58AA80AABBCFD608AC1846CC5EEECB7387C5780BF9
49	233	2796A0E24F7120DC6BF700B816F335DE55DAE1543D2E32D522ECE0C3A54C3FC0
50	235	C9FE0216EC055ADFD468E5B78357C429AF9B6A02225876C5C885EDC48D556FBF
51	237	5AE2F1136E22C86109CF5DF36B9BD5785DAD7245B531B39BBA03165D65C40B79
52	239	143F70B940F7A7953F02243FA9488086146A47C6F796EF8923D389FFC4E03773
53	242	464A3F743945DD65E348A78E7094D9F9910565DA0AEFE48E4FB1AE2B2FCEAAB6
54	248	E951E75C7EC39C0CC3554D94FDC4F70A42500F1D0E778DCD71C44F2204B27DB0
55	250	07FADA50EE0F1C05A076BDF7E372FA1210EAC8CFED4DCBA91139E8E5A72CDF14
56	252	441F25E46BB6AB06ECEEC92A7C1C8E16825AB4C5281F1FD7805925B6652005CA
57	254	B3A4C8F1F606D8F0DCB7CAD1EA30116F6309F3A6FB69F6247A34A1593C9BE286
58	260	407CDB7415B2B0D6B4356A34AFAA241F65ABF9CEAF9F1E9DC8BF307D18A90D62
59	262	5598D0701BAC57409970FA8BFACAC72F2A5E265E16CDEA3E99CF37D953E68765
60	264	A18E702F13655223C5DE1A363803A1955F8067CCC5754903C7DAF5B7C2ED352F
61	266	1B40D94E6D8AD4CA7423A89FED76E106DE71697CC5E7624EB5C07CF351178559
62	286	729F5EE595054FD3CE3AF363239558DC7C69649B323DD70228BDBD3269947AB1
63	288	BC1BAD23981714496D2D84ECE1B7F5EB17794C93D8E12997C70795A578458A6C
64	292	CD4580BA0CBDCE6C2CF6A708F1C22A0822EB24F2E000AAB7AC79F2295E5520AF
65	296	2F6D4C41C01F9B69BC4B758174095A96B9C1A2F516EA40750E9A1D903FB1B47D
66	320	853B21F0BDEA864915FD849B3B892C55B9631DCBB5E543CB216C82EFBD34B76A
67	322	51DE65F7FEEAB6D6A5C5E834D89F62810BF7D2D5A3CC3553CB108C49326D1312
68	324	542F1DEADD442577D6B18ACA472442BC2C892079D0AFBC8A451E45ADFEE37812
69	326	0B8952A823DC804DCBA5082010B3918D6B875D1D5989C5723AEB99EB6BF65D91
70	328	C82F25B486BE31CA4309E216F1E8BED79A93314B01F3BCC64EAB8DD2B8CD0775
71	330	D69DEEBC5BDA85BD0C46B230C60D056BB40EACAAEB53D1EDE1497C8B7C70EBF3
72	334	6CE6232264377B2C6715CC19F1BCB898465B028594507E4D081570CD07DCCC6A
73	336	8D7E2EBBFB19BBD823B9637FBC7BC46ED60620540B1DAC5BDA41BD24A6740968
74	338	EC4702D3947570A0EB421ADCD003A198603CF8A5CEC0DD50F7C534A53811A8D9
75	358	C2261D27DA2E6DFE2E84C2C3F805D67907BD452DD12F8AE6D1840D04A2EB390B
76	360	53AB02A69C0F701CBB30329601FBBFF8C79E007D6E4AB4B2BDDFF51BD550772F
77	362	294E0404D04EB509691423955E6867070F6CFE63A74E718AA4BC51AC892BC0AF
78	364	281E4072BAEC52725D6012C75403B67E465C5B4E79FA552666A9ED1761232E88
79	366	7A1DBE1169BFA8CB223F3CD90DFB50C498A3EF8BE8121DBFD78CB2458648839F
80	368	DD6DE0A71961EFBB3A7384BD2817C64161F4C1A8044FA9ACAE2E3B6059E6599F
81	377	5B5CC08251C8213995ACDA5D8CAECA4CCBB33966C9B65210681C05FA2369520F
82	379	E9A623B5FB4DA489E3904109C965F3B2A0EDABB3298FD015C8D2951A3D4CE937
83	381	7AFF26718F3D58172D1C1DFB818FF1F4C029982A0AF6AF2A0BAF3F52A4CE5183
84	383	26BFE48ABF5A56CAA1F27325D75C58D53A8964E305B60075F8D01C35918A09EA
85	385	FFE12BA99371A9E756BF6283E41F24E0CB0319A6EED385EBC661D26677C52463
86	387	20CE263D51FC6C4E65F840B4A93A4EDC95D5C0EC9C755220E9669151FEB95617
87	390	969FDFA3AB5F681A0065B00D052C62B5CCF087AC584D294B5189E9A5192820AD
88	392	32FB6B797BEC80F2A8D9A6D345EAF9D2616E00721FDF3128E7208EB0EA3CB717
89	394	DF6BC1E6C3BCD9CE80FFCA0A7FED8B2BC1FFE343998820789EAB6B7C016BCBC1
