core_clause_id	master8_clause_id	clause_sha256
1	36	4312AF10A2DAD79C76E1684ADCC475D63D2A6B709DC4AC4124313A36364641C2
2	44	6382C9FAAEDBFC8AA91E758AED70702AAFB891C55EC9163090B2F763A56DF18C
3	67	BA9D80C87D8A6FF318380AA2CB246FA0F3CCEC284F1774CFF238F614A55350B2
4	69	F4BD926ECD1958AD4493D35ADCB2BBF9A4451870701941271252D83A1ACD1BF1
5	71	C7A10852B84000D6AD72FEF616DBB15BB302445C6D40AD40C17AC7422FC17D7A
6	74	DC979B045F738BA1997C3116B74D526FB0D360BE2291C0C145A3F6759FF500C0
7	76	8B05BB71FD9365BB48159DCA9CEB609B46653398ED145587B72634C5F95E5356
8	78	051AD7B142EBAD01C43860D06EA6438951108B5F2A3A3001F2F088E920E9C7CB
9	80	FDA9F3459F965A8FC35295C7DAC0240AFD59A8D1EE802163D752D8252B321239
10	88	B5DDC49BECC1110CA8DFD76A034FDE211010F88E7B78E905A2EFA5D51B813129
11	90	9AD170D9C9EE1AAF8AEC789465F7ADC44197E3F0D7520EB57216D8338297A1E7
12	92	0668ABD48081872E56D622CFE35CB67CBA7816057EE84E7476FB005135BBAEB3
13	100	5808F8BBD4F7FFFF5C0C7D3987531FEAD5EE3690B3EF302BF5C12E15CEE78A51
14	102	1604229A6BB2D504D8556EC602268D26B1CE070A64C4678D5014AF6B4C91BB67
15	110	D6B31EB94E660782C26D9EABDCF199C1756968464A102869A075F0DDB5CFB9EE
16	123	E1E38D1A3D83CD87DB43B6D8F8767CFE7ADDB60CBF814E2EE4535714BB5858B3
17	125	7BB94530FDD8350B22697B328D2E0F09B9A3851AAB11E0162CB395F42319D0B7
18	127	BDF656065483BC507A32525CBF4622EBD4DD174DD4169584A12DFAC783849956
19	130	6C52B085828D47A4E6809BD06C7F2A3726FD4D4E901CD76AB59F123756F90D14
20	132	5CDBA9A835609ACE6FA06604ABCD2C6910FA70259E4FD52C1477BBCFD5A41770
21	134	85FDEEF9D53D85BA7749E05DEC4306A6646A07A0AB968206703E1C3C411AD1FB
22	142	88E385F0F02FA467ED110E2B300C493A695442212688D5B8803BA4E90B9A8AE3
23	144	6042E012DD9EE6A1FEBB0C4AF8A5DF282898385C7FA6366A1D4C27169517DB08
24	150	A44D6478EEA0A446F53BFA0720B9AFCB3E7E950CE76ADCA7C3E9CEC590F45BE7
25	152	4F93204C4FE0684C5C4DF591D6F3AB514EA4E378323F451E4866D8EB3D012CBA
26	158	E80E9CE1D78EBD3BC63B143D297D0BFE56CEADCAF55692B923F30CB06506435A
27	165	990C2F13FEB4D9FDD99BC3AA834516B0D8B464024DE069735A6DCB7D7CD96CDD
28	167	0EC065CDFCEF40B47CAED1F378DD8F7EA4026F34FB73DBCD469AD7D0ACF98BB6
29	169	FB1E996926F313541B47BE9DEA31645A76B927A266F1918F62D76A56570D8D21
30	172	BB5253C31FF824E0CCFEAD53AD43E4BF688A63F84C2CD8077C46630AEC4D4549
31	174	50C92E676618EBFBD4C45A0E38DD7C0964F20C4170CB651ADEB326E7521E6E7F
32	176	184061FAE5423838998A98DD9097F41C71806FF488050F5857A113FB087E4805
33	178	766DD854921989615BFA6DBB400890856B175A5ED62F100E8D01C488F4C7E329
34	180	F0C3873EC3C351BE5F26BE834BC15D44F85704AC2FA0B42BEF8D6132DFBFE70A
35	182	A5A770A680C410B704F3DC453B787F00228BB97584C9D1C8EFAFAB909AF4739C
36	184	E4B9946C7039EEF665A2494688A6D99B4820E570EF079BDE1DFA279CD5BD4E84
37	186	5734E76CF0E55330A689C8171EA864BF8E02281FBEE7D42D07B06A6D6C2F8544
38	188	D04040A31EB88540D53C1FE11FB2FF0142E25A919B7C9559CAF8E45457177F38
39	190	E26A41771E3CF0956DCF21A51ADD5CD5B2823B98065CA9B82CCAB3F648B171A0
