leaf,status,conflicts,wall_seconds,solver_seconds,fixed_literals,left_parent_holes,right_parent_holes,gen358_parent_id,gen4416_parent_id,leaf_cnf_sha256
d8_l00_r00,UNSAT,148344,2.70957320000025,2.69,144,4,0,45711642438494,3583333754570559034715360012962377664510025546852272054849,0A96C5433BF841A19047D9142963B1BAC00713DD3A6F78766C4DCB78EC2C9DE6
d8_l00_r01,UNSAT,157707,2.6980086999997184,2.67,144,4,0,45711642438494,3583333758674368197732360914071565186738705964924502796773,69F5A9AA1F7ACD0EC65B3D6E48D73567EC0B4B502D61D1824F8AAF65C67D07C1
d8_l01_r00,UNSAT,165879,3.2224168999996436,3.2,144,4,0,45742899027601,3583333754570559034715360012962377664510025546852272054849,4A011C301A2F8D4C33234583FCB1068296960C7261A75AD3D3C4F8B39F388C92
d8_l01_r01,UNSAT,176230,3.065813000000162,3.06,144,4,0,45742899027601,3583333758674368197732360914071565186738705964924502796773,74B79C0068A2E9B3661B5253ECA2097E520F1B803F7B85B64F957379B5CBE578
d8_l02_r00,UNSAT,152002,2.825691300000017,2.81,144,4,0,45690506149148,3583333754570559034715360012962377664510025546852272054849,323066C403F667488DFC97B5294EBEEAE0C302746F6587CF9F4D889B76983E71
d8_l02_r01,UNSAT,182723,3.2802331000002596,3.25,144,4,0,45690506149148,3583333758674368197732360914071565186738705964924502796773,A812FBAFA69248548D2E43E51C96F5EE380FC6A726942E0D4D02E5299AB3C96F
d8_l03_r00,UNSAT,173764,3.3760213999998996,3.34,144,4,0,45523225279466,3583333754570559034715360012962377664510025546852272054849,99A90E97437E70906BCD0218A33717A1A8BA36B32A35EFF8019E6743B2B8F069
d8_l03_r01,UNSAT,240235,4.831964999999855,4.75,144,4,0,45523225279466,3583333758674368197732360914071565186738705964924502796773,06166C2942577D4184DA70607F4121A2177B3916CA27938B54F7764443798B1C
d8_l04_r00,UNSAT,151248,2.701090199999726,2.67,144,4,0,45659383900877,3583333754570559034715360012962377664510025546852272054849,0A8A8BF4668A0E7C067C0A1E15675D4E71DA1197166E112C4293DCC409CEC847
d8_l04_r01,UNSAT,163812,2.8625757999998314,2.84,144,4,0,45659383900877,3583333758674368197732360914071565186738705964924502796773,4D9BF33CF5F7CFC16AA094D64916E8FC6708CE23F31CB7779F9E399E5D023C45
d8_l05_r00,UNSAT,159010,2.804193100000248,2.78,144,4,0,43957822384478,3583333754570559034715360012962377664510025546852272054849,F38FACC77997A06CDDBA20F45F144FB12EE063086068DD30238BB8A71D2B283F
d8_l05_r01,UNSAT,300123,5.987574300000233,5.81,144,4,0,43957822384478,3583333758674368197732360914071565186738705964924502796773,11D45AACD954080E56B23CDE1155AAEE07445A859A5AF6E675CAAAF3ABF4519E
d8_l06_r00,UNSAT,139672,2.4996469000002435,2.42,144,4,0,45741944418458,3583333754570559034715360012962377664510025546852272054849,46406C226D13CEEBE253EB88ADDD3AFF5CA29D89355ED240D3B28E3527BA14FD
d8_l06_r01,UNSAT,176788,3.170719900000222,3.14,144,4,0,45741944418458,3583333758674368197732360914071565186738705964924502796773,EC15F3226174640796418E38883EBA580B0A3A15122101E243A9452F4D79CB5D
d8_l07_r00,UNSAT,277335,5.751576499999828,5.64,144,4,0,39806248853873,3583333754570559034715360012962377664510025546852272054849,07670941DCDA35EAF44F17A741E73E734751F09FF2DA5DA5CC20BB34EB633AB3
d8_l07_r01,UNSAT,534075,13.162939200000437,12.92,144,4,0,39806248853873,3583333758674368197732360914071565186738705964924502796773,32468F92FADF6CDD6097D49B3AE5DB8566B4BB876781BCEA5EFA3391A420B836
d8_l08_r00,UNSAT,165683,2.9959389000000556,2.91,144,4,0,45638123976960,3583333754570559034715360012962377664510025546852272054849,38E36A53B083F423A49E4256C4F608060786CFE9FF9C2B899531BD0977D3C3AA
d8_l08_r01,UNSAT,168060,2.9904559999999947,2.95,144,4,0,45638123976960,3583333758674368197732360914071565186738705964924502796773,DBBC20BD2BA55A3246F5CAD4A2B562CB77892FB6C37622778A085C81E85FF612
d8_l09_r00,UNSAT,160387,3.0643079000001308,3.02,144,4,0,27395564048477,3583333754570559034715360012962377664510025546852272054849,74A94380CC1047B758215D5D2380E808D65CA58A823E2DFEB40A4E909B56D20A
d8_l09_r01,UNSAT,341857,7.432713799999874,7.34,144,4,0,27395564048477,3583333758674368197732360914071565186738705964924502796773,DFFBFC3D18793DCF9987A40F0A34705C431E9CD6813C71ABC857992DB7E93393
d8_l10_r00,UNSAT,762622,23.012467099999867,22.75,144,4,0,25374743716097,3583333754570559034715360012962377664510025546852272054849,DBE23737AB47FE3C9DF3B4D525BA186C1023C28601A3278132D661B8E9E4BC36
d8_l10_r01,UNKNOWN,1000000,37.39625109999997,37.05,144,4,0,25374743716097,3583333758674368197732360914071565186738705964924502796773,919DB72BC23C8FD4E83DFBA955880CD6A0E322B4B5F7ADA656BE17B16F743497
d8_l11_r00,UNSAT,156048,2.7741595000002235,2.66,144,4,0,43839196172665,3583333754570559034715360012962377664510025546852272054849,DEA31453DE60ACC0852D8B1E257D78E4BD700E6C87E16044BCD11B504FB61ED8
d8_l11_r01,UNSAT,204197,3.5967241999996986,3.55,144,4,0,43839196172665,3583333758674368197732360914071565186738705964924502796773,DEEA7FD203F060DFB4F8CBF5FB2D0B889A81544BBEBF37A967A45F1D2A084090
d8_l12_r00,UNSAT,213034,4.212528399999883,4.12,144,4,0,44010047422565,3583333754570559034715360012962377664510025546852272054849,6C5487F0668C249087A1EDD5DF63BE08CBA996EEAC04E4CC11B13337FC12884B
d8_l12_r01,UNSAT,591562,15.252237199999854,15.03,144,4,0,44010047422565,3583333758674368197732360914071565186738705964924502796773,2E0DAEA62D4D69E366CA0962BFD913493B3DE8BB9CE843353F241232785BC13D
d8_l13_r00,UNSAT,160358,3.020115899999837,3.0,144,4,0,45115358019902,3583333754570559034715360012962377664510025546852272054849,7D0F4B8A803D07BE1A65D517DB85477A8CC2CD3642013DD1234FE86B5CD5A076
d8_l13_r01,UNSAT,180145,3.2747953999996753,3.22,144,4,0,45115358019902,3583333758674368197732360914071565186738705964924502796773,41308E1DCADFD86DCB37D1CA7721BD76BE6B51AA33CFAA1A15305D4BD17F784B
d8_l14_r00,UNSAT,165684,2.989913499999602,2.97,144,4,0,40648917467241,3583333754570559034715360012962377664510025546852272054849,B4AE98BD6E4D4CB722BE64A9F8A33614C6B24AB1C777005C82E4EC1F308E9466
d8_l14_r01,UNSAT,146982,2.4873407000000043,2.44,144,4,0,40648917467241,3583333758674368197732360914071565186738705964924502796773,A47676ADD45F4EAC37B267523866271EB06E3A1DE0D06FEFC263055614729F12
d8_l15_r00,UNSAT,137746,2.422217699999692,2.39,144,4,0,38127977419259,3583333754570559034715360012962377664510025546852272054849,86259D89A624BB2261807C0A38BB4E6D6FB4984627862F64C1252C68ADEFF859
d8_l15_r01,UNSAT,161045,2.8281786000002285,2.78,144,4,0,38127977419259,3583333758674368197732360914071565186738705964924502796773,3BCA839F388962D5E6EAF3154C79AB5BB9ABE3914FE4D222C3D3B2ADE4DA3F63
d8_l16_r00,UNSAT,157905,3.00693339999998,2.98,146,2,0,30491885929029,3583333754570559034715360012962377664510025546852272054849,7F5CAD39BE830E44AFAADB361F595A067A824FE0D7945A724A9ECCB6FF6508D4
d8_l16_r01,UNSAT,215242,4.037732700000106,3.95,146,2,0,30491885929029,3583333758674368197732360914071565186738705964924502796773,CEC61624792F2E476ED31EF6AD955DB116D362B16838A583CD1AD6744D7988F4
d8_l17_r00,UNSAT,147036,2.4519866000000548,2.44,144,4,0,45648836094921,3583333754570559034715360012962377664510025546852272054849,01A33D373DA2BC0E84536CC20F360FB9FA5AB3BA2E95F6C4A240AA54A14453E0
d8_l17_r01,UNSAT,210507,3.7305774999999812,3.72,144,4,0,45648836094921,3583333758674368197732360914071565186738705964924502796773,C6ADDC27B7F84A3D8F809780B89B3FBD4126809A8709D08AFE0C1149575133F9
d8_l18_r00,UNSAT,150694,2.6093344000000798,2.59,144,4,0,45742948977735,3583333754570559034715360012962377664510025546852272054849,432D9AD829A174D73F853E02CF51B50A5CAC9C04D1FE2F823D2C838C1E2952A5
d8_l18_r01,UNSAT,148460,2.443596599999637,2.42,144,4,0,45742948977735,3583333758674368197732360914071565186738705964924502796773,05BD2E69B17863AD52274A428974036F26FAC5015BA242A79C5D274DDBCDF5A6
d8_l19_r00,UNSAT,168941,3.334108600000036,3.31,144,4,0,30484519701677,3583333754570559034715360012962377664510025546852272054849,62EB46EC155246DE752477B54C0E6BCE711F80F3CCC7E47F93DF8FEC47C73566
d8_l19_r01,UNSAT,224560,4.397445899999639,4.39,144,4,0,30484519701677,3583333758674368197732360914071565186738705964924502796773,7837F8473E13C1449322FE4ABBD3D1CFC75F63348CD87801178020A454274761
d8_l20_r00,UNSAT,140003,2.399712400000226,2.36,145,3,0,45178221529831,3583333754570559034715360012962377664510025546852272054849,97F4E47573AF485A5DA7DD86D76E2AB81A6DB0FD4248A603C391E760749F4BFD
d8_l20_r01,UNSAT,162561,2.879145399999743,2.84,145,3,0,45178221529831,3583333758674368197732360914071565186738705964924502796773,ABAD8854C182537A719C8F3FCD2874773D76260002056BCD366B030A5B6554C7
d8_l21_r00,UNSAT,143198,2.5720330999997714,2.56,148,0,0,45743079357988,3583333754570559034715360012962377664510025546852272054849,79F585EE4A8BB357D1761937936AB3A205E66F79B53AA0DEC1E3CC604C43D322
